num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
11817	73842.981067	96.058143	15.245084	-0.990738	135.043620
11819	73845.075441	95.922941	14.768945	-0.976276	138.316905
11821	73847.168717	95.861875	14.270315	-0.962751	136.445078
11823	73849.260597	95.883887	13.672208	-0.950621	129.385803
11825	73851.351544	95.855055	13.089877	-0.939419	136.876831
11827	73853.441797	95.793083	12.427616	-0.928517	132.214279
11829	73855.530768	95.831600	11.724627	-0.919088	142.466040
11831	73857.619432	95.742850	11.000214	-0.910180	132.045835
11833	73859.707062	95.700841	10.291866	-0.901619	130.106976
11835	73861.794310	95.655857	9.541811	-0.894310	129.289231
11837	73863.880728	95.754689	8.808976	-0.887406	132.130688
11839	73865.966724	95.649529	8.036548	-0.881759	132.771732
11841	73868.051779	95.528093	7.313351	-0.876669	128.423724
11843	73870.136748	95.573232	6.597738	-0.871544	131.494107
11845	73872.220940	95.455053	5.844298	-0.867857	128.220011
11847	73874.304903	95.377577	5.153450	-0.864066	130.390341
11849	73876.388564	95.225252	4.455627	-0.861269	126.357391
11851	73878.471488	95.251317	3.766807	-0.858681	128.436560
11853	73880.554265	95.164163	3.110400	-0.856168	125.378671
11855	73882.636391	95.013936	2.460603	-0.853963	121.640278
11857	73884.718316	94.961858	1.798381	-0.853186	123.149914
11859	73886.799609	94.748126	1.210555	-0.851930	123.596764
11861	73888.880549	94.613775	0.607296	-0.851407	120.858513
11863	73890.961037	94.499169	0.040654	-0.851109	121.706224
11865	73893.041206	94.126827	-0.556950	-0.852286	121.057640
11867	73895.121190	94.193640	-1.075723	-0.851888	123.900576
11869	73897.201003	93.991281	-1.617710	-0.853124	122.023725
11871	73899.280367	93.821714	-2.134647	-0.853720	127.614029
11873	73901.359952	93.496296	-2.657339	-0.855516	121.823799
11875	73903.438937	93.373081	-3.100637	-0.856930	123.668661
11877	73905.518209	93.209222	-3.594123	-0.859428	120.308925
11879	73907.597127	92.978678	-4.043559	-0.861826	122.899967
11881	73909.675791	92.884668	-4.462296	-0.863909	121.691128
11883	73911.754681	92.767207	-4.893797	-0.866419	134.651852
11885	73913.833381	92.484405	-5.320839	-0.869859	124.373954
11887	73915.911736	92.410062	-5.690718	-0.872409	121.282698
11889	73917.990047	92.084797	-6.070176	-0.875797	124.477412
11891	73920.068133	91.992506	-6.413563	-0.878935	120.698107
11893	73922.146312	91.656651	-6.784496	-0.881755	124.681360
11895	73924.224396	91.554342	-7.111397	-0.885362	118.580541
11897	73926.302057	91.352240	-7.411110	-0.888778	122.191682
11899	73928.379861	91.197583	-7.717204	-0.892614	125.201591
11901	73930.457354	91.446588	-8.021352	-0.897923	125.717514
11903	73932.534356	90.983975	-8.242292	-0.899621	123.320168
11905	73934.611560	90.717979	-8.508678	-0.903713	123.995179
11907	73936.688228	90.501766	-8.753296	-0.908231	125.588550
11909	73938.765027	90.363631	-8.954683	-0.912070	127.329719
11911	73940.841433	90.094287	-9.182084	-0.916291	134.932552
11913	73942.917783	89.964842	-9.381797	-0.920342	132.570929
11915	73944.994313	89.749336	-9.562196	-0.924855	125.801364
11917	73947.070442	89.600426	-9.730955	-0.929231	122.240930
11919	73949.146776	89.405162	-9.903567	-0.933446	123.024011
11921	73951.222941	88.952765	-10.070667	-0.939719	127.370921
11923	73953.299092	88.803802	-10.196875	-0.944418	125.929786
11925	73955.375488	88.967288	-10.328102	-0.948064	124.417438
11927	73957.451261	88.884311	-10.432822	-0.952078	126.279228
11929	73959.527287	88.530549	-10.566031	-0.957791	127.270404
11931	73961.602907	88.476160	-10.633411	-0.961379	123.455078
11933	73963.678903	88.269798	-10.756967	-0.966511	123.016086
11935	73965.754645	88.248827	-10.812283	-0.970418	126.190662
11937	73967.830242	87.971457	-10.915357	-0.975594	120.295419
11939	73969.905914	87.833843	-10.985274	-0.980105	123.755194
11941	73971.981135	87.733806	-11.030126	-0.984303	125.186484
11943	73974.056571	87.664286	-11.056687	-0.987996	116.793560
11945	73976.131564	87.488740	-11.116431	-0.992476	128.652861
11947	73978.206738	87.339919	-11.161619	-0.997005	122.560556
11949	73980.281789	87.202074	-11.186551	-1.001484	123.426350
11951	73982.356540	87.178114	-11.177539	-1.005402	123.887783
11953	73984.431456	86.948902	-11.208833	-1.010446	119.610369
11955	73986.505890	86.801618	-11.215307	-1.014773	123.079205
11957	73988.580190	86.733147	-11.213672	-1.018623	122.575383
11959	73990.654280	86.654734	-11.195642	-1.022709	116.631031
11961	73992.728943	86.461935	-11.192939	-1.027530	120.596542
11963	73994.803192	86.291536	-11.200401	-1.031753	119.451323
11965	73996.877263	86.177494	-11.164484	-1.036113	121.289904
